SNID: 2017cbv
SURVEY: NULL
FILTERS: UBVgri
RA: 218.143417
DECL: -44.134094
REDSHIFT_FINAL: 0.004 +- 0.0010
PEAKMJD: 57840

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 57827.061 i 382648.4866 3876.7551 13.5430 0.0110
OBS: 57827.131 U 469029.3284 3887.9278 13.3220 0.0090
OBS: 57827.135 U 472933.4149 3920.2900 13.3130 0.0090
OBS: 57827.139 B 418022.8290 1540.0530 13.4470 0.0040
OBS: 57827.141 B 421114.3104 1939.3031 13.4390 0.0050
OBS: 57827.142 V 463020.2659 2558.7445 13.3360 0.0060
OBS: 57827.143 V 464301.4073 2138.1870 13.3330 0.0050
OBS: 57827.145 g 501649.0568 2772.2151 13.2490 0.0060
OBS: 57827.146 g 502573.9801 2314.4387 13.2470 0.0050
OBS: 57827.148 r 460044.6664 3389.7344 13.3430 0.0080
OBS: 57827.149 r 461317.5746 2124.4459 13.3400 0.0050
OBS: 57827.150 i 385833.5599 2132.1950 13.5340 0.0060
OBS: 57827.152 i 383001.0812 2469.2992 13.5420 0.0070
OBS: 57828.123 U 643279.9273 5332.3444 12.9790 0.0090
OBS: 57828.127 U 643872.6829 5337.2579 12.9780 0.0090
OBS: 57828.131 B 569114.9576 1572.5227 13.1120 0.0030
OBS: 57828.133 B 568067.5741 2092.8383 13.1140 0.0040
OBS: 57828.134 V 603114.8196 2221.9571 13.0490 0.0040
OBS: 57828.136 V 604783.5919 2228.1051 13.0460 0.0040
OBS: 57828.137 g 667421.2039 2458.8706 12.9390 0.0040
OBS: 57828.139 g 666192.9002 2454.3453 12.9410 0.0040
OBS: 57828.140 r 604226.8220 2782.5673 13.0470 0.0050
OBS: 57828.141 r 604783.5919 2785.1314 13.0460 0.0050
OBS: 57828.143 i 498884.4875 3216.4272 13.2550 0.0070
OBS: 57828.144 i 498425.2094 2754.3995 13.2560 0.0060
OBS: 57829.321 U 936698.8780 9490.0470 12.5710 0.0110
OBS: 57829.324 U 941022.4835 9533.8511 12.5660 0.0110
OBS: 57829.329 B 741993.3278 6150.6100 12.8240 0.0090
OBS: 57829.330 B 747480.7282 5507.6415 12.8160 0.0080
OBS: 57829.332 V 779112.1911 7893.4773 12.7710 0.0110
OBS: 57829.333 V 779112.1911 7893.4773 12.7710 0.0110
OBS: 57829.334 g 846447.4481 9355.2829 12.6810 0.0120
OBS: 57829.336 g 853493.0716 8647.0579 12.6720 0.0110
OBS: 57829.337 r 768422.3711 7077.4316 12.7860 0.0100
OBS: 57829.339 r 774105.2271 8555.7272 12.7780 0.0120
OBS: 57829.340 i 637382.3014 7631.6603 12.9890 0.0130
OBS: 57829.341 i 642096.0526 8279.4925 12.9810 0.0140
OBS: 57831.132 U 1495546.7727 12397.0453 12.0630 0.0090
OBS: 57831.136 U 1498304.2106 12419.9026 12.0610 0.0090
OBS: 57831.140 B 1081433.9513 2988.1124 12.4150 0.0030
OBS: 57831.141 B 1084426.1958 2996.3803 12.4120 0.0030
OBS: 57831.143 V 1116863.2478 4114.6763 12.3800 0.0040
OBS: 57831.144 V 1120985.5129 4129.8633 12.3760 0.0040
OBS: 57831.145 g 1265901.7493 5829.6930 12.2440 0.0050
OBS: 57831.147 g 1264736.3475 5824.3261 12.2450 0.0050
OBS: 57831.149 r 1099512.0669 6076.1282 12.3970 0.0060
OBS: 57831.150 r 1101539.3095 5072.7760 12.3950 0.0050
OBS: 57831.151 i 906149.8022 4172.9741 12.6070 0.0050
OBS: 57831.152 i 906149.8022 4172.9741 12.6070 0.0050
OBS: 57832.027 V 1304968.4141 48076.8131 12.2110 0.0400
OBS: 57832.630 V 1476386.2778 54392.0806 12.0770 0.0400
OBS: 57833.104 U 2097007.5785 9657.0768 11.6960 0.0050
OBS: 57833.344 U 2093148.3034 21206.4692 11.6980 0.0110
OBS: 57833.346 U 2108628.1499 21363.3013 11.6900 0.0110
OBS: 57833.349 B 1434828.5182 7929.1554 12.1080 0.0060
OBS: 57833.350 B 1421673.9313 7856.4605 12.1180 0.0060
OBS: 57833.351 V 1440124.3712 10611.2285 12.1040 0.0080
OBS: 57833.352 V 1434828.5182 10572.2072 12.1080 0.0080
OBS: 57833.353 g 1612872.3622 14855.1034 11.9810 0.0100
OBS: 57833.354 g 1614358.5568 14868.7918 11.9800 0.0100
OBS: 57833.355 r 1408639.9464 9081.8374 12.1280 0.0070
OBS: 57833.356 r 1419057.5217 9149.0019 12.1200 0.0070
OBS: 57833.357 i 1160913.8701 8553.9295 12.3380 0.0080
OBS: 57833.357 i 1163054.3233 10712.1262 12.3360 0.0100
OBS: 57836.015 U 2409905.4287 62148.9379 11.5450 0.0280
OBS: 57836.016 B 1656532.6493 42720.2427 11.9520 0.0280
OBS: 57836.131 U 2764394.3712 22914.9118 11.3960 0.0090
OBS: 57836.133 U 2746628.9924 22767.6491 11.4030 0.0090
OBS: 57836.135 B 1819700.8586 5028.0193 11.8500 0.0030
OBS: 57836.136 B 1814679.7794 5014.1455 11.8530 0.0030
OBS: 57836.138 V 1821377.6371 6710.2032 11.8490 0.0040
OBS: 57836.138 V 1831470.8047 8434.2347 11.8430 0.0050
OBS: 57836.139 g 2077782.0975 7654.8321 11.7060 0.0040
OBS: 57836.140 g 2077782.0975 9568.5402 11.7060 0.0050
OBS: 57836.141 r 1786487.5749 6581.6635 11.8700 0.0040
OBS: 57836.142 r 1794733.6268 8265.0538 11.8650 0.0050
